entry_rule,sl,tp,hold_d,train_n,train_mean,train_median,train_win,train_pf,train_worst,test_n,test_mean,test_median,test_win,test_pf,test_worst
delay 12h,0.3,0.2,7,241,0.03563468262270699,0.33371050035125405,0.6556016597510373,1.1997809993692614,-0.6832190851710421,161,-0.006331938977381308,0.027988804919549568,0.5279503105590062,0.9448841992555579,-0.6424700803143646
delay 12h,,0.5,1,241,0.03556535029936719,0.07915214139937227,0.6431535269709544,1.2374156962170038,-1.0,161,-0.006512395439276905,0.0029285862985756095,0.5031055900621118,0.8775170604876481,-1.0
delay 24h,0.2,0.3,7,241,0.035539300480211054,0.02502341349923446,0.5186721991701245,1.1942262685153222,-0.5792784665882074,161,0.005861617075500585,0.005713682307319176,0.515527950310559,1.05489246586948,-0.44056246580542596
drop 20% (after 1h),0.2,,7,211,0.035504873216937474,-0.3972623102281245,0.4312796208530806,1.1569985488728427,-0.5598472659296967,49,-0.010296651806452664,-0.03758207165287644,0.4489795918367347,0.9399065281884275,-0.4385633170305853
drop 30% (after 4h),0.3,0.2,1,188,0.03537747348304019,0.11708198369895895,0.5957446808510638,1.266440800716168,-0.722997045416352,24,-0.07498062546908266,-0.08156599241581233,0.375,0.6039690358595038,-0.6360648776383081
delay 24h,0.1,0.3,3,241,0.03532623651841482,-0.19510026293483343,0.4149377593360996,1.3167361477691137,-0.37877826658820757,161,0.010787741012294513,0.008681494661921797,0.515527950310559,1.177191268787198,-0.22345380421508904
delay 12h,0.2,,1,241,0.035273333553779845,0.04655573136964053,0.5809128630705395,1.2763681225450008,-0.44779701743834494,161,-0.012464255515297291,-0.0008466858789623556,0.4968944099378882,0.7869116765807653,-0.42445766013399605
delay 12h,0.3,0.3,7,241,0.03467182666932057,0.07340949845115466,0.5892116182572614,1.1654512019956977,-0.7671373592123355,161,-6.817480527398722e-05,0.026738137426716622,0.5217391304347826,0.9994114589815005,-0.6424700803143646
drop 20% (after 1h),0.2,0.3,7,211,0.0346686930392509,-0.09081997606609822,0.4881516587677725,1.1714643323189873,-0.5598472659296967,49,-0.024197626271692523,-0.03758207165287644,0.4489795918367347,0.8587774550797513,-0.4385633170305853
delay 12h,,0.1,7,241,0.034633503565479486,0.19809999999999992,0.8174273858921162,1.2920182182794495,-1.0,161,0.030231355673669625,0.1036515293684855,0.6273291925465838,1.4150465205022797,-1.0
delay 24h,0.3,0.3,1,241,0.034621251821843176,0.05653010588413406,0.6141078838174274,1.3014474022373532,-0.6472351700587243,161,0.003469642808774087,-0.000393132086543358,0.4906832298136646,1.0748264618372734,-0.6609046991412706
delay 8h,0.45,0.5,7,241,0.0340713463276781,0.09591694475106405,0.6099585062240664,1.1290246737204956,-1.0,161,-0.004351004276159663,0.005124612272174849,0.5217391304347826,0.9646687219076484,-0.9361220128146969
drop 15% (after 1h),0.2,0.5,7,217,0.033986789786001184,-0.40021963734131605,0.41013824884792627,1.1464121145117854,-0.5570774452163678,69,0.030848562004782254,0.027254668204518405,0.5797101449275363,1.240834750533355,-0.4385633170305853
